Feature,Importance
age,4.383691310882568
bmi,3.8666739463806152
is_smoker,3.660590648651123
total_cholesterol,3.0858936309814453
bpm_meds,2.9762189388275146
family_history,2.7638072967529297
heart_rate,2.4118690490722656
diabetes,2.3928639888763428
pandemic_period,2.3618969917297363
glucose,1.4425148963928223
sex_M,1.2558088302612305
diagnosis_year,1.2429718971252441
days_since_diagnosis,1.213262915611267
sex_F,1.1973450183868408
socioeconomic_status_2,0.9342734217643738
socioeconomic_status_1,0.8400729298591614
occupation_Employed,0.8026025295257568
ethnicity_Afrocolombian,0.7591798305511475
occupation_Unemployed,0.7524393200874329
ethnicity_Mestizo/White,0.7429505586624146
socioeconomic_status_3,0.7125343680381775
ethnicity_Other,0.6419980525970459
ethnicity_Indigenous,0.6323808431625366
rural_area_U,0.6164546012878418
rural_area_R,0.5851393938064575
marital_status_Single,0.5469895005226135
marital_status_Divorced,0.5366685390472412
socioeconomic_status_5,0.5250793695449829
marital_status_Married,0.5081356763839722
marital_status_Widowed,0.48993170261383057
education_level_4,0.4589005708694458
socioeconomic_status_4,0.4495723843574524
diagnosis_trimester_T1,0.43247687816619873
occupation_Retired,0.4206077456474304
municipality_Bello,0.41225510835647583
municipality_Salamina,0.39772212505340576
diagnosis_trimester_T2,0.3837428092956543
education_level_1,0.38155919313430786
education_level_5,0.3803607225418091
has_sewage,0.3790528178215027
education_level_8,0.37335288524627686
socioeconomic_status_6,0.3598191440105438
department_Caldas,0.3587726950645447
has_water_supply,0.35745060443878174
department_Quindio,0.34901201725006104
has_internet,0.34735816717147827
municipality_Dosquebradas,0.3446063995361328
department_Antioquia,0.34155839681625366
municipality_La Dorada,0.3335587680339813
municipality_Quimbaya,0.33263158798217773
municipality_La Tebaida,0.33200979232788086
education_level_3,0.33177176117897034
education_level_6,0.32711124420166016
municipality_Chinchina,0.3224567770957947
municipality_Filandia,0.3220105767250061
municipality_Montenegro,0.320514440536499
diagnosis_trimester_T3,0.3140431046485901
has_electricity,0.31136423349380493
has_gas,0.3071731925010681
education_level_9,0.3032492399215698
department_Risaralda,0.299689382314682
education_level_2,0.29833984375
diagnosis_month,0.29270225763320923
education_level_10,0.2925798296928406
municipality_Manizales,0.2924000024795532
municipality_Villamaria,0.2854542136192322
municipality_Medellin,0.28376150131225586
municipality_Envigado,0.2823980450630188
diagnosis_trimester_T4,0.27808403968811035
municipality_Rionegro,0.2728118896484375
municipality_Barbosa,0.2708921432495117
municipality_Armenia,0.2694888114929199
education_level_7,0.250975102186203
municipality_Santa Rosa de Cabal,0.2487184852361679
municipality_La Ceja,0.24579304456710815
municipality_Apia,0.24403125047683716
municipality_Pereira,0.24384519457817078
municipality_La Virginia,0.2365257441997528
municipality_Circasia,0.2285311222076416
municipality_Anserma,0.22798970341682434
municipality_Belmonte,0.22720058262348175
municipality_Palestina,0.22121433913707733
municipality_Sabaneta,0.21679426729679108
municipality_Riosucio,0.20822900533676147
municipality_Itagui,0.1769966185092926
